 ['forest  feature  index'] , ['forest  rank'] , ['forest  word'] , ['SGD  feature  index'] , ['SGD  rank'] , ['SGD  word'] , ['logistic  feature  index'] , ['logistic  rank'] , ['logistic  word'] 
1277,0.0, join  gf ,1910,0.0,real,778,-0.013822422684798512,efforts
1278,0.0,joined,1911,0.0, real  estate ,648,-0.013898716882166744,default
1279,0.0, joined  good ,1912,0.0,reality,730,-0.013919529342526623, does  necessarily 
1280,0.0,july,1913,0.0,realize,950,-0.014098586073510151, financial  management 
1281,0.0,june,1914,0.0,realized,801,-0.014106002440572968,enjoy
1283,0.0, just  sent ,1916,0.0,reason,1872,-0.014395104206228127,puts
1284,0.0, just  starting ,1922,0.0,receiving,1313,-0.014645460780307193,leaders
1285,0.0,keeping,1926,0.0,recognize,2491,-0.014775699539563526,wonder
1286,0.0,keeps,1928,0.0,recommend,844,-0.014803717927833637,exact
1287,0.0,kept,1930,0.0,recommended,2109,-0.014840222118490365,series
1288,0.0,key,1933,0.0,records,1889,-0.015103970188090853,rapidly
1289,0.0,kids,1936,0.0,reduced,1108,-0.015703958844588469, higher  rate 
1291,0.0,kinds,1937,0.0,reducing,1032,-0.015926940763209312,giving
1292,0.0,knew,1941,0.0,refers,480,-0.016094205748945222, companies  make 
1293,0.0,know,1942,0.0,reflect,646,-0.016158577297947747,decrease
1294,0.0,knowing,1943,0.0,regard,909,-0.016174148476213086,families
1295,0.0,knowledge,1945,0.0,regardless,375,-0.016260656353714133,cause
1297,0.0,knows,1946,0.0,regards,852,-0.016324676465560829,exchanges
1298,0.0,labor,1949,0.0,regions,796,-0.017170065825782007,ended
1299,0.0,lack,1952,0.0,regular,306,-0.017182162479747343,break
1300,0.0,land,1954,0.0,regulated,934,-0.017705935384543969,final
1301,0.0,large,1960,0.0,relates,1839,-0.017868364345641437,promotion
1302,0.0, large  number ,1961,0.0,relation,1188,-0.01789336570954126,individuals
1303,0.0,largely,1962,0.0,relationship,1492,-0.018205624130540211,member
1304,0.0,larger,1967,0.0,relevant,979,-0.018217912260121191,forced
1305,0.0,largest,1969,0.0,rely,553,-0.018344721988946044,continue
1306,0.0,late,1974,0.0,rent,746,-0.01846504451503956,dropped
1308,0.0,launch,1977,0.0,repayment,319,-0.018569977406232809,buildings
1309,0.0,law,1978,0.0,replace,2008,-0.018734818747794101,restrictions
1310,0.0,laws,1980,0.0,reported,1676,-0.019045618204627784,passive
1311,0.0,lead,1983,0.0,represent,817,-0.019273268370171719,equation
1312,0.0,leader,1984,0.0,representative,2447,-0.019393523617066095,voting
1313,0.0,leaders,1985,0.0,represented,566,-0.019553108810184371,cool
1314,0.0,leading,1987,0.0,reputation,2037,-0.019990096766286932,riskier
1316,0.0,learn,1991,0.0, required  fields ,1943,-0.020010763336271158,regard
1317,0.0, learn  good ,1993,0.0,requires,1142,-0.020058020415870043,husband
1318,0.0, learn  personal ,1996,0.0,reserved,1536,-0.020160290266651098,movements
1319,0.0,learned,1997,0.0, reserved  disclaimer ,1335,-0.020270595170554632,letting
1320,0.0,learning,1998,0.0,reserves,1396,-0.020317309107674021,lots
1321,0.0,lease,2000,0.0,resources,2247,-0.020415813181241044,stress
1322,0.0,leave,2001,0.0,respect,735,-0.020729214948929282,dollars
1323,0.0,leaving,2007,0.0,rest,2007,-0.020738061115547129,rest
1324,0.0,led,2008,0.0,restrictions,1430,-0.020867920435847787, making  decisions 
1325,0.0,left,2010,0.0,resulting,2119,-0.021106140954612908,seven
1326,0.0,legal,2011,0.0,results,141,-0.021193744130516255,advise
1327,0.0,legally,2018,0.0,returned,136,-0.021431603352390912,advance
1328,0.0,lend,2020,0.0,reveal,760,-0.022005899388982765,easiest
1329,0.0,lender,2027,0.0,rich,1790,-0.022651445221085878,primarily
1330,0.0,lenders,2030,0.0, rights  reserved ,2320,-0.022695132283164783,think
1331,0.0,lending,2037,0.0,riskier,1225,-0.022738432577292647,interests
1332,0.0,length,2040,0.0,road,527,-0.023016633853051374,conducting
1334,0.0, let  know ,2043,0.0,roth,736,-0.023243543292813716, dollars  usd 
1335,0.0,letting,2048,0.0,running,2502,-0.023357683681075735,worse
1337,0.0,levels,2051,0.0,safer,1198,-0.023462959477878839,infrastructure
1338,0.0,leverage,2060,0.0, save  money ,2236,-0.023528918863190567, stocks  bonds 
1339,0.0,liabilities,2065,0.0,savvy,1482,-0.023553211113411274,measured
1340,0.0,liability,2068,0.0,saying,1315,-0.023610397799375946,leads
1342,0.0, life  insurance ,2069,0.0,scale,2374,-0.023687400127517504,turns
1343,0.0,likelihood,2071,0.0,scenarios,1591,-0.023693619366405686,obtained
1344,0.0,likely,2074,0.0,scope,1183,-0.023811342330695137,indicates
1345,0.0,likewise,2082,0.0,secure,522,-0.023919148213969583,concerns
1346,0.0,limit,2083,0.0,secured,468,-0.024163936163421159,committed
1347,0.0,limited,2084,0.0,securing,1525,-0.02438176901655436, money  make 
1348,0.0,limits,2087,0.0,security,1932,-0.024571560215544862,recorded
1349,0.0,line,2088,0.0,seeing,1693,-0.024794997443249141,perceived
1350,0.0,lines,2090,0.0,seeking,2474,-0.02483415934986417,weigh
1351,0.0,link,2091,0.0,seeks,2222,-0.024884728178506049,steady
1352,0.0, link  won ,2092,0.0,seen,933,-0.024924126020622925,filing
1353,0.0,liquid,2102,0.0,sells,668,-0.024943972088023722,deposited
1354,0.0, liquid  assets ,2105,0.0,sent,1031,-0.025266962857238194,gives
1355,0.0,liquidate,2106,0.0, sent  email ,606,-0.02543617187411076,crucial
1356,0.0,liquidity,2111,0.0,serves,1807,-0.025487913040126844,procedures
1358,0.0,listed,2113,0.0,services,1954,-0.025525326107636581,regulated
1360,0.0,lists,2114,0.0,set,2090,-0.025572753630532085,seeking
1361,0.0,little,2116,0.0,setting,1589,-0.025668239029581021,obligations
1362,0.0, little  bit ,2119,0.0,seven,767,-0.025833463901865444,economists
1363,0.0,live,2120,0.0,shape,1221,-0.025868916129377171,intent
1364,0.0,lives,2121,0.0, shape  copyright ,1372,-0.026086174233158205,local
1365,0.0,living,2123,0.0, share  stock ,1558,-0.026109694544626163,needed
1366,0.0,ll,2128,0.0, shares  company ,1385,-0.026141296185801164,lose
1367,0.0,llc,2131,0.0,sharing,1389,-0.026157143004712599, losing  money 
1368,0.0, llc  certified ,2133,0.0,shift,1925,-0.026187410413923178,recession
1369,0.0, llc  learn ,2134,0.0,shifts,1319,-0.026262521273119243,learned
1371,0.0,loans,2136,0.0,shopping,444,-0.026287986456833601,comfortable
1372,0.0,local,2140,0.0,shouldn,121,-0.026298301527345053,activity
1373,0.0,located,2141,0.0,showing,1718,-0.026366043946648012,pieces
1374,0.0,location,2145,0.0, sign  free ,399,-0.026431570637195388,charged
1375,0.0,locations,2146,0.0,signed,2123,-0.026565333997501293, share  stock 
1377,0.0, long  run ,2148,0.0,significantly,1419,-0.026736103131259816, make  informed 
1379,0.0, long  time ,2152,0.0,similarly,771,-0.026871270854127619,effective
1380,0.0,longer,2156,0.0,sit,1246,-0.026926743582500974, investment  strategy 
1381,0.0,look,2159,0.0,situation,1907,-0.027075911208858359,readily
1382,0.0,looked,2163,0.0,skills,2456,-0.027294308404646556,warning
1384,0.0,looks,2164,0.0,slightly,106,-0.02749786438097257,accurately
1385,0.0,lose,2166,0.0,small,968,-0.02791592510108382,flow
1386,0.0, lose  money ,2168,0.0, small  businesses ,494,-0.028097510940550581, company  makes 
1387,0.0,loses,2172,0.0, social  security ,657,-0.028110713744661082,delivered
1388,0.0,losing,2173,0.0,society,1111,-0.028156669851373585,hire
1389,0.0, losing  money ,2178,0.0,solution,555,-0.02818604102571071,continues
1391,0.0,losses,2179,0.0,somebody,1965,-0.028190316493938765,relatively
1392,0.0,lost,2182,0.0,sound,1404,-0.028316456591990558,luck
1395,0.0, lot  people ,2183,0.0,sounds,209,-0.028567893869867227,asked
1396,0.0,lots,2187,0.0,speak,317,-0.028643271345307354,build
1397,0.0,love,2188,0.0,speaking,1454,-0.028643814731165954, market  conditions 
1398,0.0,loved,2189,0.0,special,1761,-0.028728997439120427, potential  investors 
1399,0.0,low,2190,0.0,specialize,2324,-0.028861056146727387,thousand
1400,0.0, low  risk ,2201,0.0,st,1607,-0.02900599155399438,offset
1401,0.0,lower,2202,0.0, st  carbondale ,395,-0.029088528412982075,changed
1402,0.0, lower  rate ,2203,0.0,stability,1428,-0.029186229805333974, makes  sense 
1403,0.0,lowest,2205,0.0,staff,433,-0.029389360993803994,closer
1404,0.0,luck,2206,0.0,stage,890,-0.029580960571276724,extreme
1405,0.0,machinery,2208,0.0,stand,1894,-0.02978531906723245,rates
1406,0.0,machines,2209,0.0,standard,2469,-0.029875020899977789,website
1407,0.0,mail,2215,0.0,state,1299,-0.029914962530525491,lack
1409,0.0,mainly,2217,0.0,statement,635,-0.029996382851918395,decades
1410,0.0,maintain,2220,0.0,status,2141,-0.030040306579117684,showing
1411,0.0,maintained,2221,0.0,stay,254,-0.030117309688641725,balances
1412,0.0,maintaining,2222,0.0,steady,1637,-0.030203669868914186, order  make 
1413,0.0,maintenance,2224,0.0, step  error ,905,-0.030462035280818589,fairly
1415,0.0,majority,2226,0.0,stock,1432,-0.030500886165084267, making  money 
1417,0.0, make  decisions ,2227,0.0, stock  bond ,647,-0.030808094981975807,decreases
1418,0.0, make  easier ,2236,0.0, stocks  bonds ,969,-0.031102379392818721,fluctuate
1419,0.0, make  informed ,2238,0.0,storage,167,-0.031290687438048158,allowing
1420,0.0, make  investment ,2246,0.0,strength,1739,-0.031509215950873651, point  time 
1421,0.0, make  money ,2253,0.0,student,932,-0.031512537767884971,filed
1422,0.0, make  profit ,2256,0.0,stuff,1670,-0.031579980825473176,partner
1423,0.0, make  sense ,2257,0.0,style,688,-0.03158822891747682,develop
1424,0.0, make  sure ,2259,0.0,submitting,521,-0.0316077871999383,concerned
1425,0.0, make  use ,2260,0.0, submitting  subscription ,674,-0.032016034302583929,derived
1426,0.0,makes,2262,0.0,subscribed,529,-0.032025549455989163,confidence
1427,0.0, makes  possible ,2263,0.0, subscribed  complete ,774,-0.032532857737947174,efficiency
1428,0.0, makes  sense ,2265,0.0, subscription  try ,2146,-0.032714764658475157,signed
1429,0.0,making,2267,0.0,succeed,1033,-0.033064301674831667,glad
1430,0.0, making  decisions ,2268,0.0,success,1535,-0.033142169815211203,movement
1431,0.0, making  investment ,2269,0.0,successful,329,-0.033158874585874659, businesses  use 
1432,0.0, making  money ,2271,0.0,suddenly,600,-0.033209746001309826,credit
1433,0.0, making  sure ,2272,0.0,suffer,258,-0.033475646029871325,bankrupt
1434,0.0,man,2275,0.0,sum,637,-0.03351060127553554,decent
1435,0.0,manage,2277,0.0,suppliers,1002,-0.034062762186560312,functions
1437,0.0,management,2287,0.0, takes  account ,1715,-0.034370981379791311,picking
1438,0.0, management  dump ,2288,0.0,taking,2117,-0.034614709367312022,settle
1439,0.0, management  llc ,2294,0.0,task,1423,-0.034710171583186997, make  sense 
1440,0.0,manager,2295,0.0,tasks,586,-0.035157833798818199,couple
1441,0.0,managers,2297,0.0, tax  free ,210,-0.035324057839542386,asking
1442,0.0,managing,2298,0.0,taxed,1323,-0.035354617495118423,leaving
1444,0.0,manufacture,2304,0.0,technologies,348,-0.035376366483985865,calls
1445,0.0,manufacturer,2307,0.0,tell,2393,-0.035406388143422909,union
1446,0.0,manufacturers,2308,0.0,temporary,1663,-0.035610918126130445,paperwork
1447,0.0,manufacturing,2309,0.0,tend,2277,-0.035630702793547728,suppliers
1448,0.0,march,2310,0.0,tends,263,-0.035711664611545159,basic
1449,0.0,margin,2311,0.0,term,759,-0.035956068813196511,easier
1450,0.0,marked,2319,0.0,thing,1980,-0.036105200786797152,reported
1451,0.0, marked  email ,2321,0.0,thinking,360,-0.03627847424418449,care
1453,0.0, market  company ,2324,0.0,thousand,2198,-0.036371386189060301,spent
1454,0.0, market  conditions ,2326,0.0,tied,2334,-0.03766859205218856,today
1455,0.0, market  investors ,2327,0.0,time,717,-0.038015928325394091,diversify
1456,0.0, market  price ,2328,0.0, time  frame ,1874,-0.038151960329892196,qualified
1457,0.0, market  share ,2330,0.0, time  period ,436,-0.038242724648983928,collateral
1458,0.0, market  stock ,2331,0.0,times,769,-0.038354720516581349,education
1459,0.0, market  value ,2335,0.0,told,1585,-0.039010085015730223, number  shares 
1460,0.0,marketing,2339,0.0,tools,2176,-0.039026922015559247,sole
1463,0.0,massive,2340,0.0,topic,1292,-0.039028675784236605,knew
1466,0.0,materials,2342,0.0,totally,92,-0.039050931120791957,accept
1467,0.0,mathematical,2343,0.0,tough,593,-0.039068991341843468,covers
1469,0.0,matters,2351,0.0,trading,1069,-0.039097476690538271,guaranteed
1472,0.0, maturity  date ,2354,0.0,transaction,107,-0.039596484823553935,achieve
1473,0.0,maximize,2355,0.0,transactions,307,-0.039849537016750022,brief
1474,0.0,maximum,2357,0.0,transferred,575,-0.03994649425477885,correct
1475,0.0,maybe,2358,0.0,transfers,1923,-0.039990759598406457,recent
