 ['forest  feature  index'] , ['forest  rank'] , ['forest  word'] , ['SGD  feature  index'] , ['SGD  rank'] , ['SGD  word'] , ['logistic  feature  index'] , ['logistic  rank'] , ['logistic  word'] 
2072,5.3523199300786502e-05,regarding,2586,1.3792509785960119,unusual,56,0.16367763239727356,24
208,4.2782483610890718e-05,america,1981,1.3773926666804051,providers,273,0.1635443444900872,author
1903,3.408137921514308e-05,potentially,2031,1.3724690032856044, really  need ,848,0.16309635252613683,draw
1130,2.7516503424127396e-05,getting,2547,1.3668279558714171,truth,2409,0.16289803303128317,stuff
2654,2.6458369822852626e-05,watch,2136,1.3633768192924072,responsibility,1450,0.16273336329192989,license
190,2.5270376223012061e-05,ago,2555,1.3625871098525215,type,1571,0.16252196051762527, marked  email 
1713,2.0870245402910505e-05,obtained,517,1.3563715850452773,clearly,940,0.16230207563014612,europe
2523,2.0870245402910437e-05,trading,491,1.3552186197404368, check  bank ,880,0.16212846457055355,efficient
1178,1.9274684981262072e-05,growing,1629,1.3512069283495205,model,989,0.1620300022771653,facilities
1279,1.5408139007722514e-05,impact,2264,1.3434340880107238,shared,648,0.1620143317498485,copyright
2310,1.5313612773576666e-05, small  business ,799,1.3432145407349236,did,93,0.16201092353106492,54
407,1.4684975871541155e-05,calculator,2355,1.3425033411107481,stand,209,0.16190385255697035,american
310,1.4676700242570563e-05,banking,1124,1.3386511573615749,general,1816,0.16180800704646794, paying  bills 
144,1.4474234240631739e-05,accurate,1581,1.3383027865926669,materials,1742,0.16172372277220057,opening
1183,1.429488359465073e-05,guess,2667,1.3378725917006673,weekend,1901,0.16169733441517625,posts
8,9.542649059645468e-06,100,1366,1.3323072830129161,items,142,0.16159285190697847, accounts  payable 
1381,8.531919810221716e-06,keeping,2112,1.328486381177628,reports,844,0.16103573649441338,double
1854,5.8221514159485714e-06,piece,1957,1.3284118408090775,professionals,2362,0.1604716092822242,starting
1091,6.8518060042886039e-20, founder  alliance ,2038,1.3283194252022714,receivables,350,0.16047143342394937,bonds
0,0.0,00,1234,1.3218222941165922,holders,198,0.16026220044493272,alliance
2,0.0, 000  awesome ,515,1.3093340636502722,clear,199,0.16026220044493272, alliance  wealth 
3,0.0, 000  dollars ,1636,1.3072601817311342, money  available ,1560,0.16026220044493272, management  llc 
4,0.0, 000  usd ,783,1.3049060635239778,design,2659,0.16026220044493272, wealth  management 
6,0.0, 10  000 ,948,1.3038757465347388,everyday,286,0.16005448275243236,awesome
7,0.0, 10  years ,897,1.3027518170927808,employ,676,0.15980016495178501,create
9,0.0,1000,2480,1.3014659948223903,thank,675,0.15947733122754129,crazy
12,0.0, 115  washington ,464,1.3001513580286699,cents,1756,0.1593457683682041,order
14,0.0, 12  2012 ,2488,1.2956307796685036,thinking,2131,0.15911341615724961,resource
15,0.0, 12  commentsover ,1142,1.2920498554893174,goes,1636,0.15884273253587469, money  available 
16,0.0,13,1052,1.2894725807972449, financial  situation ,762,0.15883679616928867,definitely
17,0.0,14,938,1.2876071585594697,establishment,1497,0.15810296517161362, long  run 
18,0.0, 14  54 ,2003,1.2869291506891158,quit,1197,0.15747428450689313,happen
19,0.0,15,1538,1.2855287299191305,make,874,0.15746048533336507,education
21,0.0, 16  commentsjanuary ,1966,1.2838998650921931,projected,1690,0.156625713274476, new  car 
22,0.0,16th,1849,1.2793470297903391,phone,871,0.15662162415005973,economic
23,0.0, 16th  cdata ,1080,1.2763805017769307,foreign,1936,0.15569603425896092,probably
24,0.0,17,2422,1.2752586341223651,success,1236,0.15561230861219102,holds
25,0.0, 17  commentsmay ,2092,1.2714647096726521,relief,632,0.15559827796799966,continue
26,0.0,18,1588,1.2707814257263013,mean,870,0.15542012716281092,eating
27,0.0, 18  19 ,210,1.2673056489651009,americans,1739,0.15525023058116216, open  account 
28,0.0,19,1331,1.2669126616810755,instrument,1846,0.15515874233446283,personally
29,0.0, 19  commentsdecember ,1896,1.2657378143077138, post  office ,2388,0.15515253565314316,story
30,0.0,20,824,1.2646244009619383,discuss,167,0.15511249730171076,addressed
31,0.0,200,1599,1.2610777975812593,member,2026,0.15498716130779405,realistic
32,0.0,2008,280,1.2609294084932325,available,1208,0.15480395403485683,head
33,0.0, 2008  good ,2337,1.255259661990402,specifically,361,0.15454289868710364,borrower
34,0.0,2011,2062,1.2548595849028903,reduction,126,0.1543608531317805, according  terms 
35,0.0, 2011  25 ,1546,1.2499088787932489, make  sure ,2506,0.15433241491581112,title
36,0.0,2012,2668,1.2458670258934981,weekly,2264,0.15411149052945103,shared
37,0.0, 2012  16 ,105,1.2410779136631276,80,338,0.15378422305857833,bigger
38,0.0, 2012  24 ,1996,1.2408940271511628,putting,1456,0.15376865496439748,light
39,0.0, 2012  27 ,760,1.2385056839243263,define,1121,0.1535327708250975,game
40,0.0,2014,1613,1.2366223688025988,military,1406,0.15247400897427255, late  fees 
41,0.0, 2014  45 ,2353,1.2343085954326845,stable,1358,0.15224429059309624,issue
42,0.0,2015september,1324,1.2267030053154291,input,780,0.15179331536869103,deposits
43,0.0, 2015september  16th ,228,1.2258975941288137,apply,1142,0.1517475495047334,goes
44,0.0, 2015september  20th ,2477,1.2220818402370648, terms  conditions ,1418,0.15170079915937651,learn
45,0.0, 2015september  23rd ,613,1.2215394676121163,connected,2563,0.15135271924928317,typically
46,0.0, 2015september  27th ,2475,1.2192407368138711, term  used ,478,0.15126566014584011,chances
47,0.0,20th,993,1.2186948336683106,fail,1299,0.15124179076228764,increases
48,0.0, 20th  2015september ,154,1.2176904833683793,activity,1100,0.15109129178346301,frequent
49,0.0,21,684,1.2125265890825558, credit  bureaus ,1286,0.15097230204619852,improve
51,0.0, 22  2014 ,2479,1.2099085657646111,text,2290,0.15094977151285344,signs
52,0.0,23,901,1.2097998702133055,employer,2258,0.15075527221650717,settled
53,0.0, 23  2012 ,2706,1.2092987320235136,worse,1124,0.14983248567342339,general
54,0.0,23rd,2048,1.2089836048971812,recommend,1885,0.14978247021381785,popular
55,0.0, 23rd  2015september ,2202,1.202707925813622,scale,382,0.14909140534473783,build
56,0.0,24,675,1.2024875930431207,crazy,260,0.14887298489564726,assistance
57,0.0, 24  commentsnovember ,2067,1.2004851345336773,refers,60,0.14877520926549972,26
59,0.0, 25  commentsmarch ,2097,1.1988657598847152,remember,1801,0.14804529943266392,pass
60,0.0,26,2290,1.1939865478278646,signs,309,0.14801101122470234, bank  statements 
61,0.0,27,1905,1.1913959625533628,practice,879,0.14773658462475975,efficiency
62,0.0, 27  17 ,1699,1.1842580598670345,note,2520,0.14710159446485388,tracking
63,0.0, 27  commentsnovember ,926,1.1834253177194147,equal,2641,0.14631513127940757,wages
64,0.0,27th,1209,1.180738546345119,heads,2500,0.14576006309198838, time  time 
65,0.0, 27th  2015september ,2395,1.1801627939122561,strict,1884,0.14572657869886307,pop
66,0.0,28,2692,1.1780970694855717,wondering,78,0.1455434564138835,34
67,0.0, 28  35 ,1873,1.1775345201936638,pm,225,0.14543261438444616,applications
68,0.0,28th,1935,1.1774822119982047,pro,2041,0.14539463485507964,receives
69,0.0, 28th  2015september ,393,1.175977146120879,busy,2048,0.145393927839058,recommend
70,0.0,29,2217,1.1752258146035628,sector,644,0.14529929905583461,convince
72,0.0, 30  2011 ,346,1.170516953349914,blogger,2345,0.14460544342804152,spent
73,0.0, 30  days ,2545,1.1704777916358244,truly,1186,0.14447567033183986,guide
74,0.0,300,1297,1.1683459631342767,increase,2639,0.14442011057910195,visit
75,0.0,31,1690,1.1682657867119168, new  car ,911,0.14439542833998173,enjoy
76,0.0,32,2312,1.1678458550033077,smaller,2375,0.14434765176433648,step
77,0.0,33,929,1.160547072485169,error,2522,0.14400118613264412,traded
78,0.0,34,190,1.1598028038346455,ago,2191,0.14355889233578592, save  money 
79,0.0,35,2301,1.1587745432228165,situation,472,0.14353153838995888,certificates
80,0.0, 35  000 ,369,1.154378135512441,brick,2602,0.14342264744169647,usual
81,0.0, 35  commentsjune ,2089,1.1541774531821458,released,513,0.14311561004725995,class
82,0.0,40,2589,1.1532415794474933,usage,2330,0.14248895759214514,sources
83,0.0,43,357,1.1495380936552662,borders,659,0.14232045917389868,couldn
84,0.0,45,2068,1.1488950610612607,refinance,366,0.14226616366021477,branch
85,0.0, 45  commentsjune ,343,1.1466831359423462,bit,1962,0.14211605051810602,program
86,0.0,457,16,1.1456309268280229,13,428,0.14198548639538172, card  company 
87,0.0, 457  6525 ,631,1.1447525265941603,context,2386,0.14179223865008439,stores
88,0.0,48,2280,1.1430289020170796,showed,2316,0.1415881849241804,society
89,0.0,49,1509,1.1384853377262623,lost,692,0.14151787175126737, credit  report 
90,0.0,50,2612,1.1322400056429376,value,684,0.14100154931467757, credit  bureaus 
91,0.0, 50  000 ,1422,1.1249984020418804,learning,24,0.14008574248986308,17
92,0.0,500,8,1.1178710635640774,100,369,0.14005320330018636,brick
93,0.0,54,1753,1.1157256957065451,opposite,1922,0.13998686662247722,prices
94,0.0, 54  commentsmay ,1628,1.1155775507439285,mobile,988,0.13992901001503805,face
96,0.0,60,364,1.1116179463256002,bought,2705,0.13976707826040369,worry
97,0.0,600,598,1.1110678799186546,comprehensive,1996,0.13945207875071586,putting
98,0.0,62901,891,1.1107263838022077, email  address ,1238,0.13914696836945625,holidays
99,0.0, 62901  855 ,9,1.1097976330609984,1000,1981,0.13889856336784742,providers
100,0.0,6525,489,1.1058214890036568,cheaper,1480,0.13887330477376403,lives
101,0.0, 6525  certified ,1921,1.1048006104561243,price,2355,0.13837781516438977,stand
102,0.0,70,2288,1.1045058285219223,significantly,2085,0.1383669893920553,relationships
103,0.0,700,254,1.1021351153709742,assess,479,0.13819083813461275,change
104,0.0,75,2085,1.1012024219037915,relationships,2086,0.13811966983878884,relative
105,0.0,80,1446,1.1009540700447082,levels,1968,0.13792215016897197,promote
106,0.0,800,2441,1.0991767854505126,sure,1077,0.13763313460255763,food
107,0.0,855,1421,1.0952665263304517,learned,2692,0.13761532444619412,wondering
108,0.0, 855  457 ,1357,1.0951911348583041,isn,1118,0.13734461053217806,furniture
110,0.0,99,2346,1.0946188707146525,spot,314,0.13727200168403444, banks  credit 
111,0.0,ability,34,1.0894071857805427,2011,2194,0.13722952877735267,saving
114,0.0, able  pay ,376,1.0870811507258982,budgeted,931,0.13712872215834856,errors
115,0.0, able  use ,398,1.0857659902357497,buyer,823,0.13679324225640113,discovered
118,0.0,acceptable,1044,1.0839275454364328, financial  goals ,2360,0.13675335402631086,start
119,0.0,accepted,245,1.0795362825417019,arrangements,2021,0.13614803573865861,reading
121,0.0,access,273,1.0762091633504887,author,1441,0.13612037255106973,lets
122,0.0, access  money ,2415,1.075665509197008,subscribe,20,0.13577223838479183,16
123,0.0,accessible,2520,1.0717891558534536,tracking,19,0.1356012155337987,15
124,0.0,accomplish,1470,1.0710831725381085,liquid,915,0.135486165144523,enter
126,0.0, according  terms ,1008,1.0694293963747816,fast,1199,0.13544335229381982,happening
127,0.0,accordingly,1675,1.0681944207375331,necessary,1357,0.13537422252091708,isn
129,0.0, account  balance ,2581,1.0618549696906117,unless,1587,0.13535355576115585,meals
130,0.0, account  bank ,142,1.060952231986072, accounts  payable ,1985,0.13533732164192047,public
131,0.0, account  credit ,581,1.0597991987252715, company  pay ,224,0.13513330424597345,application
132,0.0, account  holder ,1985,1.0593176603044538,public,303,0.13499679335444262, bank  account 
133,0.0, account  money ,1121,1.057583907154851,game,1761,0.13499161973374818,orders
134,0.0, account  number ,600,1.0538461098732219,concern,2443,0.13491730173239849,switch
135,0.0, account  use ,1622,1.0474912281983755,minutes,528,0.13486492450840099,clothes
136,0.0,accountable,264,1.0469569084566139,atm,1438,0.13458839020167337,let
137,0.0,accountant,2459,1.0454800476657031,teach,1542,0.13441152397341624, make  payments 
138,0.0,accountants,1660,1.0436129899640383,mortgages,787,0.13438889930599901,desire
139,0.0,accounting,1968,1.0435937105478865,promote,1414,0.13429471957528358,lawyer
141,0.0,accounts,2086,1.0414517523287616,relative,2586,0.13409006766123724,unusual
142,0.0, accounts  payable ,623,1.0413022008250394,constantly,1247,0.13403470599148856,hot
143,0.0, accounts  receivable ,2348,1.0393870018139379,spread,1265,0.1339283675445514,ideal
145,0.0,accurately,630,1.0386316283612662,content,1330,0.13371936982931526,institutions
146,0.0,achieve,767,1.0370098947070854,delivered,901,0.13362556291042674,employer
147,0.0,acquire,1977,1.0332974611574102,provide,1386,0.13350349818287321,kid
148,0.0,acquisition,2600,1.0308431454107638,using,1905,0.13342232506992094,practice
149,0.0,act,218,1.0292723051762669,anymore,1544,0.13328381008935586, make  purchases 
